PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
387,0,0,0,17.85,-84.74,0,0,0,0
388,0,0,0,25.72,-97.69,0,0,0,0
389,0,0,0,27.05,-97.77,0,0,0,0
390,0,0,0,27.14,-95.27,0,0,0,0
391,0,0,0,24.87,-105.38,0,0,0,0
392,0,0,0,26.82,-105.52,0,0,0,0
393,0,0,0,26.94,-103.02,0,0,0,0
394,0,0,0,25.09,-102.91,0,0,0,0
395,0,0,0,24.66,-107.87,0,0,0,0
396,0,0,0,26.66,-107.99,0,0,0,0
397,0,0,0,26.8,-105.55,0,0,0,0
398,0,0,0,33.79,-108.46,0,0,0,0
399,0,0,0,32.78,-108.4,0,0,0,0
400,0,0,0,32.94,-105.9,0,0,0,0
401,0,0,0,34.24,-106.01,0,0,0,0
402,0,0,0,32.93,-105.91,0,0,0,0
403,0,0,0,33.06,-103.43,0,0,0,0
404,0,0,0,34.35,-103.5,0,0,0,0
405,0,0,0,33.68,-100.28,0,0,0,0
406,0,0,0,33,-100.24,0,0,0,0
407,0,0,0,33.16,-97.74,0,0,0,0
408,0,0,0,34.21,-97.83,0,0,0,0
409,0,0,0,33.15,-97.77,0,0,0,0
410,0,0,0,33.29,-95.28,0,0,0,0
411,0,0,0,34.27,-95.34,0,0,0,0
412,0,0,0,34.86,-93.73,0,0,0,0
413,0,0,0,33.42,-93.63,0,0,0,0
414,0,0,0,33.58,-91.11,0,0,0,0
415,0,0,0,35.05,-91.22,0,0,0,0
416,0,0,0,33.57,-91.1,0,0,0,0
417,0,0,0,33.73,-88.64,0,0,0,0
418,0,0,0,35.03,-88.74,0,0,0,0
419,0,0,0,35.31,-86.45,0,0,0,0
420,0,0,0,33.9,-86.34,0,0,0,0
421,0,0,0,34.03,-83.86,0,0,0,0
422,0,0,0,35.57,-83.96,0,0,0,0
423,0,0,0,34.05,-83.85,0,0,0,0
424,0,0,0,34.21,-81.38,0,0,0,0
425,0,0,0,35.64,-81.49,0,0,0,0
426,0,0,0,35.77,-79.35,0,0,0,0
427,0,0,0,34.38,-79.25,0,0,0,0
428,0,0,0,34.55,-76.75,0,0,0,0
429,0,0,0,35.94,-76.83,0,0,0,0
430,0,0,0,34.54,-76.75,0,0,0,0
431,0,0,0,34.71,-74.26,0,0,0,0
432,0,0,0,35.82,-74.34,0,0,0,0
433,0,0,0,36.13,-72.2,0,0,0,0
434,0,0,0,34.85,-72.12,0,0,0,0
435,0,0,0,35,-69.59,0,0,0,0
436,0,0,0,36.25,-69.67,0,0,0,0
